engine,model_name,concurrency,num_requests,avg_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,wall_time_s,requests_per_s,tokens_per_s,total_output_tokens
vllm,Qwen/Qwen2-VL-2B-Instruct,1,43,1400.8134520331093,1396.6922760009766,1419.7949886322021,1426.4877557754517,1437.0835542678833,60.23757815361023,0.7138401197064539,182.7430706448522,11008
vllm,Qwen/Qwen2-VL-2B-Instruct,2,82,1474.596983048974,1471.001386642456,1494.1068172454834,1506.194245815277,1509.7638940811157,60.463557958602905,1.3561887981541259,347.1843323274562,20992
vllm,Qwen/Qwen2-VL-2B-Instruct,4,164,1490.2262527768205,1486.18483543396,1507.6603651046753,1515.7663822174072,1534.9081087112427,61.109856367111206,2.6836914656579585,687.0250152084374,41984
vllm,Qwen/Qwen2-VL-2B-Instruct,8,312,1570.9798557636066,1569.9193477630615,1585.711646080017,1589.4182920455933,1596.3429975509644,61.27932643890381,5.091439774734919,1303.4085823321393,79872
vllm,Qwen/Qwen2-VL-2B-Instruct,16,560,1735.050989474569,1733.48069190979,1748.8557577133179,1758.8699221611023,1774.0840792655945,60.76295065879822,9.216142302643664,2359.332429476778,143360
vllm,Qwen/Qwen2-VL-2B-Instruct,32,928,2085.3868802559787,2083.4931135177612,2115.316128730774,2121.1851716041565,2148.3217310905457,60.66179871559143,15.297930817232483,3916.270289211516,237568
ollama,aleSuglia/qwen2-vl-2b-instruct-q4_k_m,1,33,1829.559022730047,1791.086196899414,1828.922700881958,1834.8915100097656,3058.695611953735,60.37716102600098,0.5465642875422512,139.9204576108163,8448
ollama,aleSuglia/qwen2-vl-2b-instruct-q4_k_m,2,38,3257.518435779371,3279.3136835098267,3389.5310163497925,3415.6617999076843,3496.1692714691167,62.72788381576538,0.6057911998371842,155.08254715831916,9728
ollama,aleSuglia/qwen2-vl-2b-instruct-q4_k_m,4,40,6307.195156812668,6545.104384422302,6691.353464126587,6719.157099723816,6746.857223510742,65.5179009437561,0.6105201696607776,156.29316343315907,10240
ollama,aleSuglia/qwen2-vl-2b-instruct-q4_k_m,8,44,12151.919852603565,13162.288904190063,13284.69524383545,13304.516875743866,13365.871481895447,72.65824365615845,0.6055747811386932,155.02714397150547,11264
ollama,aleSuglia/qwen2-vl-2b-instruct-q4_k_m,16,52,22634.061717070064,26224.57730770111,26339.469265937805,26432.327783107758,26534.53997373581,85.96743679046631,0.6048801958204567,154.84933013003692,13312
ollama,aleSuglia/qwen2-vl-2b-instruct-q4_k_m,32,68,40994.87933341195,52436.57851219177,53092.356872558594,53145.966386795044,53200.065281391144,112.39330315589905,0.6050182536736929,154.88467294046538,17408
